Date,Price,Open,High,Low,Vol.,Change %
1/18/24,17.69,18.11,18.16,17.1,6.41M,-1.50%
1/17/24,17.96,17.75,18,17.66,4.71M,-0.66%
1/16/24,18.08,17.95,18.2,17.49,4.29M,-0.44%
1/12/24,18.16,18.49,18.73,18.04,3.07M,-0.98%
1/11/24,18.34,18.45,18.73,18.04,3.61M,-1.71%
1/10/24,18.66,18.44,18.73,18.07,3.28M,0.65%
1/9/24,18.54,18.4,18.7,18.27,3.86M,-0.59%
1/8/24,18.65,17.93,18.75,17.82,5.73M,5.67%
1/5/24,17.65,17.03,18.09,17.03,4.91M,2.56%
1/4/24,17.21,16.75,17.32,16.63,4.31M,1.83%
1/3/24,16.9,17.85,17.96,16.88,6.35M,-7.60%
1/2/24,18.29,18.25,18.57,17.91,4.35M,-0.87%
12/29/23,18.45,18.8,18.91,18.34,3.35M,-2.17%
12/28/23,18.86,18.75,18.97,18.63,3.67M,-0.26%
12/27/23,18.91,18.86,18.98,18.69,4.16M,0.85%
12/26/23,18.75,18.6,18.92,18.55,3.14M,1.79%
12/22/23,18.42,18.17,18.6,18.06,2.86M,-0.05%
12/21/23,18.43,18.41,18.52,18.08,4.88M,2.28%
12/20/23,18.02,18.37,18.53,17.89,4.03M,-2.01%
12/19/23,18.39,18.08,18.45,17.88,4.98M,1.27%
12/18/23,18.16,17.79,18.35,17.51,6.31M,3.42%
12/15/23,17.56,18.17,18.26,17.35,11.51M,-2.82%
12/14/23,18.07,17.85,18.53,17.7,8.03M,4.45%
12/13/23,17.3,16.75,17.36,15.97,7.73M,3.65%
12/12/23,16.69,17.3,17.35,16.68,5.94M,-4.74%
12/11/23,17.52,17.21,17.7,16.9,9.91M,7.16%
12/8/23,16.35,15.89,16.41,15.78,5.75M,2.51%
12/7/23,15.95,15.19,16.08,15.12,5.13M,5.00%
12/6/23,15.19,15.61,15.81,15.08,4.07M,-1.75%
12/5/23,15.46,16.18,16.25,15.44,5.37M,-5.33%
12/4/23,16.33,16.12,16.44,15.95,8.08M,0.86%
12/1/23,16.19,15.65,16.25,15.41,8.38M,3.65%
11/30/23,15.62,15.62,15.91,15.47,5.22M,0.77%
11/29/23,15.5,15.56,15.96,15.44,5.80M,1.04%
11/28/23,15.34,15.08,15.38,14.8,5.78M,1.19%
11/27/23,15.16,14.77,15.57,14.65,11.92M,0.73%
11/24/23,15.05,14.45,15.19,14.39,8.51M,5.91%
11/22/23,14.21,14.38,14.67,13.68,16.92M,-4.63%
11/21/23,14.9,14.85,15,14.55,14.28M,-1.78%
11/20/23,15.17,15.09,15.31,14.94,5.96M,0.53%
11/17/23,15.09,14.85,15.26,14.75,6.07M,4.43%
11/16/23,14.45,15.21,15.39,14.36,6.62M,-4.56%
11/15/23,15.14,14.65,15.36,14.64,9.21M,5.73%
11/14/23,14.32,13.5,14.43,13.49,7.30M,9.48%
11/13/23,13.08,13.42,13.53,12.88,7.34M,-3.25%
11/10/23,13.52,13.4,13.62,13.09,4.91M,0.45%
11/9/23,13.46,14.16,14.19,13.38,5.19M,-4.54%
11/8/23,14.1,14.11,14.2,13.85,3.36M,-0.21%
11/7/23,14.13,14.15,14.34,13.97,3.04M,-1.40%
11/6/23,14.33,14.8,14.96,14.27,3.19M,-3.18%
11/3/23,14.8,14.81,15.19,14.59,4.43M,1.58%
