Date,Price,Open,High,Low,Vol.,Change %
7/9/24,67.33,67.72,68.36,67.29,1.41M,-0.61%
7/8/24,67.74,66.72,67.75,66.36,1.84M,2.26%
7/5/24,66.24,67.33,67.42,65.58,2.37M,-1.60%
7/3/24,67.32,67.16,67.79,67.02,707.31K,0.31%
7/2/24,67.11,67.53,67.6,66.61,1.74M,-0.62%
7/1/24,67.53,69.35,69.64,67.46,1.81M,-2.30%
6/28/24,69.12,67,69.75,66.7,3.02M,-1.03%
6/27/24,69.84,71.27,71.65,69.27,2.36M,-2.66%
6/26/24,71.75,72.65,72.99,71.59,1.72M,-1.46%
6/25/24,72.81,74.15,74.51,72.72,1.57M,-1.70%
6/24/24,74.07,72.91,74.19,72.67,1.91M,2.00%
6/21/24,72.62,72.9,73.07,71.57,7.35M,-0.63%
6/20/24,73.08,73.56,73.98,72.39,1.31M,-0.11%
6/18/24,73.16,72.68,73.4,72.22,1.16M,0.44%
6/17/24,72.84,72.03,73.08,71.62,1.85M,0.93%
6/14/24,72.17,73,73.29,72.15,1.41M,-2.14%
6/13/24,73.75,74.72,74.9,73.04,1.30M,-1.01%
6/12/24,74.5,75,75.09,73.97,1.89M,0.88%
6/11/24,73.85,73.71,73.98,72.95,1.21M,-0.09%
6/10/24,73.92,71.3,73.98,71.06,1.86M,1.44%
6/7/24,72.87,73.57,73.84,72,2.85M,2.56%
6/6/24,71.05,71,71.75,70.82,1.38M,0.35%
6/5/24,70.8,69.9,71.04,69.44,2.31M,1.74%
6/4/24,69.59,69.99,70.76,69.36,1.46M,-1.22%
6/3/24,70.45,71.64,72.27,69.89,1.55M,-1.36%
5/31/24,71.42,70.42,71.52,70.42,2.18M,1.42%
5/30/24,70.42,70,70.89,70,1.20M,0.89%
5/29/24,69.8,70.09,70.82,69.51,1.61M,-0.94%
5/28/24,70.46,69.09,71.39,69.09,1.93M,3.18%
5/24/24,68.29,67.95,68.8,67.71,1.20M,1.35%
5/23/24,67.38,68.02,68.47,67.11,1.02M,-0.69%
5/22/24,67.85,68.09,68.41,67.63,1.06M,-0.79%
5/21/24,68.39,67.96,68.52,67.75,1.02M,0.22%
5/20/24,68.24,68.58,68.88,67.63,1.22M,-0.26%
5/17/24,68.42,68.32,68.94,68.32,807.54K,0.25%
5/16/24,68.25,69.25,69.8,68.19,986.06K,-1.61%
5/15/24,69.37,69,69.47,68.84,1.10M,0.54%
5/14/24,69,69.1,69.69,68.4,1.21M,1.11%
5/13/24,68.24,68.14,68.99,68.04,1.07M,0.68%
5/10/24,67.78,68.2,68.5,67.44,973.86K,-0.43%
5/9/24,68.07,67.01,68.17,67.01,1.21M,1.63%
5/8/24,66.98,66.24,67.29,66.18,1.56M,0.87%
5/7/24,66.4,66.86,67.81,66.35,1.96M,-0.58%
5/6/24,66.79,67.55,67.83,66.72,1.67M,-0.46%
5/3/24,67.1,66.8,67.25,65.98,1.71M,1.56%
5/2/24,66.07,66.33,66.36,65.43,1.16M,0.93%
5/1/24,65.46,65.76,66.5,65.06,1.38M,-0.89%
4/30/24,66.05,65.74,66.51,65.04,2.08M,-0.21%
4/29/24,66.19,66,67.1,65.71,2.59M,1.19%
4/26/24,65.41,67.21,69.07,65.03,7.73M,11.20%
4/25/24,58.82,58.71,59.17,57.88,2.58M,-0.56%
4/24/24,59.15,59.91,60.39,58.93,2.15M,-0.82%
4/23/24,59.64,58.06,59.78,57.88,1.86M,2.81%
4/22/24,58.01,56.76,58.17,56.76,2.04M,2.84%
4/19/24,56.41,56.71,57.07,56.15,4.96M,-0.79%
4/18/24,56.86,56.7,57.46,56.39,1.20M,0.60%
4/17/24,56.52,57.96,57.96,56.36,1.62M,-1.52%
4/16/24,57.39,56.25,57.42,55.67,2.45M,1.61%
4/15/24,56.48,57.21,58.38,56.29,1.84M,0.55%
4/12/24,56.17,56.56,56.84,55.88,1.18M,-1.66%
4/11/24,57.12,57.52,57.94,57,988.99K,-0.14%
4/10/24,57.2,57.01,57.67,56.6,1.77M,-1.63%
4/9/24,58.15,58.71,58.98,57.54,966.80K,-0.17%
4/8/24,58.25,58.3,58.83,58.09,1.34M,0.43%
4/5/24,58,58.13,58.65,57.96,1.06M,-0.14%
4/4/24,58.08,59.04,59.74,57.72,1.12M,-0.77%
4/3/24,58.53,58.89,59.02,58.25,1.34M,-0.58%
4/2/24,58.87,60,60.04,58.02,2.08M,-4.00%
4/1/24,61.32,61.85,61.85,60.59,1.20M,0.10%
3/28/24,61.26,61,61.41,60.83,759.31K,0.66%
3/27/24,60.86,60.55,60.9,59.79,770.14K,1.42%
3/26/24,60.01,60.31,60.53,59.9,1.25M,0.03%
3/25/24,59.99,60.86,61.15,59.95,1.12M,-1.38%
3/22/24,60.83,60.9,61.29,60.25,1.19M,-1.15%
3/21/24,61.54,61.25,61.82,61.04,839.71K,0.87%
3/20/24,61.01,60.52,61.02,60.08,1.22M,0.78%
3/19/24,60.54,60,60.73,59.7,1.01M,0.60%
3/18/24,60.18,60.87,61.46,60.05,1.22M,-1.20%
3/15/24,60.91,61.16,61.78,60.7,2.91M,-0.83%
3/14/24,61.42,62.52,62.72,60.86,906.04K,-1.25%
3/13/24,62.2,61.2,62.33,61.2,1.45M,1.55%
3/12/24,61.25,60.35,61.54,60.01,1.45M,1.64%
3/11/24,60.26,59.83,60.75,59.16,1.70M,0.35%
3/8/24,60.05,61.03,61.53,59.93,2.12M,-1.78%
3/7/24,61.14,61.07,61.25,60.51,1.42M,0.54%
3/6/24,60.81,61.29,61.37,59.54,1.33M,0.28%
3/5/24,60.64,59.85,61.35,59.33,1.50M,0.33%
3/4/24,60.44,62.55,62.69,60.11,2.19M,-3.03%
3/1/24,62.33,61.96,62.85,61.42,1.35M,0.84%
2/29/24,61.81,62.18,62.71,61.5,1.78M,0.15%
2/28/24,61.72,60.4,62.19,60.4,1.26M,1.35%
2/27/24,60.9,60.67,60.94,60.28,1.48M,0.66%
2/26/24,60.5,60.2,61.03,60.14,992.89K,0.50%
2/23/24,60.2,59.72,60.38,59.47,988.73K,1.38%
2/22/24,59.38,59.23,59.95,59.08,1.15M,1.04%
2/21/24,58.77,57.91,59.03,57.83,1.18M,1.10%
2/20/24,58.13,59.2,59.48,57.69,1.70M,-2.56%
2/16/24,59.66,60.06,60.2,59.17,1.17M,-1.11%
2/15/24,60.33,60.52,60.97,60.04,1.60M,1.17%
2/14/24,59.63,59.65,59.91,58.68,1.93M,0.97%
2/13/24,59.06,57.98,59.08,57.71,1.80M,-0.47%
2/12/24,59.34,58.95,59.71,58.75,1.68M,0.73%
2/9/24,58.91,57.99,58.97,57.95,1.38M,1.62%
2/8/24,57.97,57.64,58.39,57.1,2.07M,1.61%
2/7/24,57.05,57.5,57.92,56.88,2.19M,-1.18%
2/6/24,57.73,58.54,58.89,57.35,3.16M,-0.76%
2/5/24,58.17,56.74,58.86,56.58,4.10M,1.98%
2/2/24,57.04,58.75,59.5,56.86,8.33M,-10.31%
2/1/24,63.6,62.92,64,62.48,3.36M,1.86%
1/31/24,62.44,63.67,63.95,62.32,1.83M,-2.19%
1/30/24,63.84,63.6,64.01,63.41,1.36M,0.00%
1/29/24,63.84,62.94,63.99,62.94,1.78M,1.53%
1/26/24,62.88,62.39,63.14,62.27,973.36K,1.58%
1/25/24,61.9,61.62,62.03,61.11,1.53M,0.98%
1/24/24,61.3,62.44,62.55,61.19,1.36M,-1.30%
1/23/24,62.11,63.78,64.07,61.99,1.48M,-2.25%
1/22/24,63.54,65,65.17,63.35,1.45M,-1.97%
1/19/24,64.82,64.25,64.86,63.68,952.62K,1.17%
1/18/24,64.07,63.36,64.12,62.44,1.33M,1.55%
1/17/24,63.09,62.79,63.69,62.02,1.39M,0.35%
1/16/24,62.87,62.65,63.03,62.22,1.14M,-0.52%
1/12/24,63.2,63.9,64,62.6,951.86K,-0.66%
1/11/24,63.62,63.04,63.64,62.45,816.65K,1.05%
1/10/24,62.96,62.76,63.1,62.4,887.48K,0.67%
1/9/24,62.54,62.49,62.82,62.16,1.10M,-0.52%
1/8/24,62.87,60.99,63.1,60.94,2.16M,4.09%
1/5/24,60.4,60.33,61.13,60.16,1.09M,0.12%
1/4/24,60.33,60.59,61.41,60.27,1.16M,-1.02%
1/3/24,60.95,61.47,61.49,60.83,1.29M,-1.90%
1/2/24,62.13,62,62.54,61.7,1.09M,-0.34%
12/29/23,62.34,62.34,62.86,62.25,546.27K,-0.35%
12/28/23,62.56,62.82,62.85,62.26,890.13K,-0.16%
12/27/23,62.66,62.64,63,62.31,711.80K,-0.02%
12/26/23,62.67,62.37,62.97,62.13,829.36K,0.80%
12/22/23,62.17,61.27,62.9,60.81,2.20M,-2.57%
12/21/23,63.81,63.67,63.93,63.45,1.13M,1.17%
12/20/23,63.07,63.3,63.91,63.02,1.42M,-1.07%
12/19/23,63.75,62.9,63.99,62.78,1.97M,2.69%
12/18/23,62.08,61.6,62.86,61.48,1.34M,0.60%
12/15/23,61.71,62.33,62.46,61.42,4.75M,-1.42%
12/14/23,62.6,62.24,63.24,61.77,1.58M,1.77%
12/13/23,61.51,60.67,61.57,60.67,1.99M,1.40%
12/12/23,60.66,60.96,61.01,60.47,1.38M,-0.20%
12/11/23,60.78,60.58,61.33,60.57,1.41M,0.58%
12/8/23,60.43,59.63,60.6,59.58,955.11K,1.16%
12/7/23,59.74,59.19,60.21,58.81,1.40M,0.73%
12/6/23,59.31,60.01,60.32,59.1,1.56M,-0.92%
12/5/23,59.86,59.42,59.89,58.95,1.59M,0.05%
12/4/23,59.83,58.78,59.99,58.78,1.74M,1.15%
12/1/23,59.15,58.86,59.3,58.17,2.12M,0.41%
11/30/23,58.91,58.71,58.99,58.05,2.00M,0.46%
11/29/23,58.64,58.1,59.19,58,2.70M,1.98%
11/28/23,57.5,57.1,57.85,57.06,2.77M,0.68%
11/27/23,57.11,55.7,57.46,55.51,1.77M,1.96%
11/24/23,56.01,54.95,56.05,54.95,582.74K,1.63%
11/22/23,55.11,55,55.46,54.8,1.21M,1.03%
11/21/23,54.55,54.5,54.57,54.1,1.17M,0.13%
11/20/23,54.48,52.5,54.63,52.49,2.05M,3.69%
11/17/23,52.54,52.27,52.55,52.1,1.91M,1.80%
11/16/23,51.61,52.04,52.38,51.33,1.70M,-1.79%
11/15/23,52.55,51.5,53.28,51.26,2.81M,3.26%
11/14/23,50.89,50.31,51.18,50.16,1.86M,2.95%
11/13/23,49.43,49.8,50,49.08,1.53M,-1.20%
11/10/23,50.03,49.64,50.04,49.06,1.37M,0.79%
