company_name,event_date,event_type,car_3day,flight_date,days_before,dep_city,dep_lat,dep_lon,arr_city,arr_lat,arr_lon
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2024-12-26,27,Springfield,37.245047,-93.388596,,,
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2024-12-31,22,,,,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2024-12-31,22,Springfield,37.245047,-93.388596,,,
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-14,8,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-14,8,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-13,9,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-13,9,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-15,7,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-15,7,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-15,7,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-15,7,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-15,7,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-15,7,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-21,1,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-01-22,Earnings,-0.0521200718338495,2025-01-21,1,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-14,27,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-14,27,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-13,28,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-13,28,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-15,26,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-15,26,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-15,26,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-15,26,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-15,26,St Louis,38.662102,-90.652,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-15,26,Springfield,37.245047,-93.388596,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-22,19,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-21,20,Dallas,33.177898,-96.5905,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-21,20,Springfield,37.245047,-93.388596,Dallas,33.177898,-96.5905
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-24,17,Charlotte,35.2140007019043,-80.94309997558594,Springfield,37.245047,-93.388596
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-24,17,Springfield,37.245047,-93.388596,Charlotte,35.2140007019043,-80.94309997558594
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-26,15,Lee's Summit,38.959702,-94.371399,Everton,37.359699,-93.662498
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-26,15,Houston,29.645336,-95.276812,Lee's Summit,38.959702,-94.371399
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-25,16,Springfield,37.245047,-93.388596,Houston,29.645336,-95.276812
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-01-29,12,Springfield,37.245047,-93.388596,,,
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-02-02,8,Lee's Summit,38.959702,-94.371399,Willard,37.31999969482422,-93.4198989868164
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-02-02,8,Dallas,32.9686012268,-96.8364028931,Lee's Summit,38.959702,-94.371399
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-02-02,8,,,,Dallas,32.9686012268,-96.8364028931
Great Southern Bancorp Inc,2025-02-10,Other,0.0183988343929574,2025-02-05,5,New Century,38.830898,-94.890297,Rogersville,37.186944,-93.094167
